grant_type	url	start_date	end_date	donee	donation_earmark	sek_amount	project	focus_area
strategic grant	https://kaw.wallenberg.org/en/strategic-grants			Max IV		740000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants			Wallenberg Wood Science Center		850000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants			Nobel Center		395000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants	2014-01-01	2026-01-01	Life Science		2500000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants	2015-01-01	2016-01-01	Wallenberg Artificial Intelligence, Autonomous Systems and Software Program		2625000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants	2016-01-01	2023-01-01	Wallenberg Centre for Protein Research		340000000000		
strategic grant	https://kaw.wallenberg.org/en/strategic-grants	2018-01-01	2027-01-01	Wallenberg Centre for Quantum technology		600000000		
strategic grant	https://kaw.wallenberg.org/en/earlier-grants			Stem cell biology, research for new treatments for cardiovascular and muscle diseases and leukemia		100000000		
strategic grant	https://kaw.wallenberg.org/en/earlier-grants			Human Protein Atlas Project		900000000		
strategic grant	https://kaw.wallenberg.org/en/earlier-grants			Brainpower		100000000		
strategic grant	https://kaw.wallenberg.org/en/earlier-grants			Spruce Genome Project		75000000		
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		Chalmers University of Technology	Jan Grahn	39150000	A National Laboratory in Terahertz Characterisation	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		University of Gothenburg	Michael Klages	38060000	MUST - Mobile Underwater Systems Tools	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		University of Gothenburg	Andrew Ewing	37109000	The Imaging metabolomics and lipidomics infrastructure	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		KTH Royal Institute of Technology	Jens Fransson	23609000	Odqvist laboratory for experimental MUlit-SCaLE mechanics – MUSCLE	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		Umeå University	Bernt Eric Uhlin	37000000	A National Cryo-Electron Microscopy and Tomography Facility for Research and Advanced Training	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2014-01-01		Uppsala University	Mats Larhed	27866000	A National Infrastructure for Preclinical Molecular Imaging	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2013-01-01		KTH Royal Institute of Technology	Jonas Weissenrieder	36000000	Ultrafast Characterization Infrastructure	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2013-01-01		Lund University	Reine Wallenberg	31000000	Environmental electron microscopy facility	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2013-01-01		Lund University	Christoph Quitmann	15000000	relocation of existing radiation tubes to the new MAX IV facility	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2013-01-01		Chalmers University of Technology	Eva Olsson	33000000	Soft Microscopy	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2013-01-01		Linköping University	Magnus Berggren	24000000	Swedish Research Laboratory for Printed Electronics	
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Chalmers University of Technology	Telescope at Onsala Space Observatory	29700000		Technology and physics
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Chalmers University of Technology		22000000	Equipment for nanotechnology	Technology and physics
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Lund University		30000000	Equipment for nanotechnology	Technology and physics
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Royal Institute of Technology		30000000	Equipment for nanotechnology and medical technology	Technology and physics
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Uppsala University and Royal Institute of Technology		57800000	Equipment for genome sequencing	Life science and medicine
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Stockholm University and Uppsala University		58500000	Support for bioinformatics	Life science and medicine
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		University of Gothenburg and Umeå University		40500000	Equipment for and operation of NMR spectroscopy	Life science and medicine
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Swedish University of Agricultural Sciences, Umeå University, and Chalmers University of Technology		38700000	Equipment for and operation of metabolite analyses	Life science and medicine
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Karolinska Institutet		24000000	Equipment for brain imaging	Life science and medicine
infrastructure of national importance	https://kaw.wallenberg.org/en/infrastructure-national-importance-2012-2014	2012-01-01		Royal College of Music		20000000	Equipment for art research	Art research
